id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48694733,cozy + convenient bungalow with coffee bar!,225411367,Jessica,,28806,35.51711,-82.60602,Entire home/apt,115,2,25,17/10/2021,10.14,1,65,25,
48695620,Original Tiny house on the farm with a hot tub,231291927,Steve,,28806,35.6324,-82.62987,Entire home/apt,99,3,89,15/10/2021,22.82,10,354,89,
48697599,Cedarwood Getaway | Mountain Views & Luxe Interior,149601167,TurnKey Vacation Rentals,,28803,35.5571,-82.47412,Entire home/apt,293,4,1,29/08/2021,0.59,38,296,1,
48699580,Walkable West Asheville Studio,154212152,Galen,,28806,35.58531,-82.57576,Entire home/apt,110,2,48,09/10/2021,11.9,1,310,48,
48700024,The Lil’ Blue Mountain Magic Hut,392890755,Michael And Jessica,,28804,35.65441,-82.57588,Entire home/apt,150,1,21,17/10/2021,9.26,1,70,21,
48707829,Modest home in a convenient location in Asheville,391971447,Robin,,28806,35.59522,-82.59397,Entire home/apt,141,3,55,13/10/2021,11.7,8,347,55,
48714029,NEW! Bright Asheville Retreat w/ Hot Tub & Decks!,151397468,Evolve,,28805,35.61241,-82.47244,Entire home/apt,424,2,12,19/09/2021,1.7,23,327,12,
48735115,"Cozy Space, Convenient Location!",37893538,Mary Margaret,,28704,35.46511,-82.5047,Entire home/apt,91,2,22,16/10/2021,4.52,1,234,22,
48746518,West Asheville Suite,391971447,Robin,,28806,35.56198,-82.61176,Entire home/apt,96,1,72,12/10/2021,13.33,8,350,72,
48748360,Asheville's Forsythia House!,132524015,Ben,,28715,35.5475,-82.66401,Entire home/apt,321,2,25,15/10/2021,10.56,1,34,25,
48763023,Simple and clean historic gem Asheville,392734293,Julie,,28806,35.59269,-82.59238,Entire home/apt,190,3,47,14/10/2021,10.22,5,353,47,
48763520,"Mountain views, king beds, hot tub in Asheville",392734293,Julie,,28806,35.63402,-82.65903,Entire home/apt,298,1,43,15/10/2021,11.94,5,354,43,
48764233,The Adventure Ranch Basement Suite Hot Tub,155987387,Draden,,28803,35.53918,-82.51607,Entire home/apt,76,2,37,17/10/2021,5.72,1,149,37,
48764538,Urban Asheville 4 bedrooms and hot tub,392734293,Julie,,28803,35.55486,-82.50365,Entire home/apt,186,3,34,03/10/2021,7.39,5,357,34,
48764967,Spacious suburban Asheville with hot tub,392734293,Julie,,28805,35.60074,-82.47098,Entire home/apt,406,3,41,14/10/2021,7.5,5,355,41,
48765717,*Camping with horses* in Asheville!  HOT TUB,231291927,Steve,,28806,35.63248,-82.6302,Entire home/apt,93,1,89,11/10/2021,65.12,10,361,89,
48767584,"Pasture Glamping in Asheville, horses and hot tub!",231291927,Steve,,28806,35.63135,-82.62873,Entire home/apt,79,1,90,13/10/2021,21.09,10,354,90,
48769491,"*Hot tub *kids  *Pets *fenced Shaded, *Private!",267154925,Lisa,,28806,35.61866,-82.643806,Entire home/apt,383,1,13,04/10/2021,3.9,1,335,13,
48778803,Eco Cottage near river. 5 min drive downtown AVL,85361942,Jillian,,28804,35.62777,-82.59874,Entire home/apt,194,1,39,13/10/2021,7.85,1,326,39,
48783147,North Asheville Home with Mountain Views,35615264,Debbie,,28804,35.63545,-82.53077,Entire home/apt,77,2,30,10/10/2021,4.52,1,49,30,
48789773,1950s CHALET ABOVE DOWNTOWN -$6 Uber to all!,6411050,James,,28805,35.59271,-82.53631,Entire home/apt,149,3,13,19/09/2021,1.98,1,299,13,
48812059,The Happy Bluebird - AVL’s BEST Nest!,107816444,Wann,,28804,35.63644,-82.52077,Entire home/apt,203,2,21,03/10/2021,3.07,1,344,21,
48824124,"Eyes of the world, phamily friendly, local color!",164497410,Alissa,,28804,35.63886,-82.57385,Entire home/apt,65,1,42,10/10/2021,6.15,1,23,42,
48841953,New Construction minutes to W. Asheville/Downtown,187974987,Karen,,28806,35.58745,-82.60095,Entire home/apt,170,30,2,06/06/2021,1.71,1,194,2,
48844726,Downtown Asheville and Mountain Views,355772213,Shawnee,,28801,35.59906,-82.54176,Entire home/apt,186,1,20,02/10/2021,3.51,1,54,20,
48856747,New Build Art-Deco Condo | Walkable Locale,149601167,TurnKey Vacation Rentals,,28801,35.5903,-82.55125,Entire home/apt,170,2,7,26/09/2021,1.29,38,321,7,
48887124,《Prime Location ❤Dog Friendly❤ Games & Fast Wifi》,3323899,"Lindsey, Sean, And Baby J",,28704,35.48758,-82.58302,Entire home/apt,528,2,23,17/10/2021,21.56,3,0,23,
48899534,"Avondale of Asheville: new, eclectic Asheville destination.",96187307,Yonder,,28803,35.55297,-82.48933,Entire home/apt,391,1,2,30/05/2021,0.38,41,339,2,
48899543,"Montford Cottage; historic location, walkable to Downtown Asheville and more!",96187307,Yonder,,28801,35.60271,-82.56595,Entire home/apt,117,1,0,,,41,34,0,
48900848,Firefly Farmhouse -A cozy retreat/romantic getaway,16864734,Shalie,,28732,35.42485,-82.46244,Entire home/apt,120,2,22,11/10/2021,3.91,1,138,22,
48901952,Desirable North Asheville,48417400,Dianne,,28804,35.644,-82.50993,Entire home/apt,97,3,4,25/07/2021,0.95,1,152,4,
48903100,Denise’s cottage,148215815,Denise,,28803,35.5638,-82.50634,Entire home/apt,175,1,11,11/09/2021,4.12,1,3,11,
48931640,HitchHiker RV in Resort w/ Pool Near AVL Airport,394672747,Nick And Morgan,,28732,35.44097,-82.52107,Entire home/apt,124,2,21,03/10/2021,3.18,1,165,21,
48933619,Historic 5Points Duplex Stroll Downtown w/ parking,6074062,Melissa,,28801,35.6044,-82.55625,Entire home/apt,800,2,0,,,8,246,0,
48968008,Starnes Cove Cabin hot tub + sauna in Asheville,394941353,Dave,,28806,35.58361,-82.65558,Entire home/apt,284,3,55,14/10/2021,11.07,3,353,55,
48968341,Tucked away sanctuary in Asheville HOT TUB + SAUNA,394941353,Dave,,28806,35.57553,-82.64619,Entire home/apt,233,3,54,11/10/2021,54,3,357,54,
48969877,Lofts of Asheville with a touch of elegance,64331718,Melody,,28715,35.54973,-82.65103,Entire home/apt,135,3,5,04/10/2021,0.89,5,279,5,
48971919,New Stylish Upscale Condo in Downtown Asheville,394967943,Kelli,,28801,35.593204,-82.549927,Entire home/apt,306,2,39,17/10/2021,6.96,1,0,39,
48972465,Relaxing home away from home minutes from downtown,394972153,David And Cindy,,28806,35.62524,-82.64042,Entire home/apt,180,2,21,17/10/2021,4.2,1,250,21,
48974282,Whole Renovated Home Minutes to Downtown Asheville,304938213,Jenna,,28803,35.55291,-82.505,Entire home/apt,302,1,25,16/10/2021,5.28,2,111,25,
48974582,The Butler's Quarters at the Mystery Mansion,95322893,Melissa,,28806,35.57534,-82.59712,Entire home/apt,146,2,21,11/10/2021,3.2,1,166,21,
